DFS,0,655,True
BFS,0,41,True
DLFS,0,0,False
UCS,0,41,True
DFS,1,608,True
BFS,1,68,True
DLFS,1,0,False
UCS,1,68,True
DFS,2,2575,True
BFS,2,123,True
DLFS,2,0,False
UCS,2,123,True
DFS,3,1846,True
BFS,3,104,True
DLFS,3,0,False
UCS,3,104,True
DFS,4,4129,True
BFS,4,95,True
DLFS,4,0,False
UCS,4,95,True
DFS,5,1844,True
BFS,5,48,True
DLFS,5,0,False
UCS,5,48,True
DFS,6,1462,True
BFS,6,72,True
DLFS,6,0,False
UCS,6,72,True
DFS,7,2114,True
BFS,7,22,True
DLFS,7,278,True
UCS,7,22,True
DFS,8,2340,True
BFS,8,86,True
DLFS,8,0,False
UCS,8,86,True
DFS,9,1461,True
BFS,9,59,True
DLFS,9,285,True
UCS,9,59,True
DFS,10,1413,True
BFS,10,175,True
DLFS,10,0,False
UCS,10,175,True
DFS,11,0,False
BFS,11,0,False
DLFS,11,0,False
UCS,11,0,False
DFS,12,0,False
BFS,12,0,False
DLFS,12,0,False
UCS,12,0,False
DFS,13,4168,True
BFS,13,42,True
DLFS,13,108,True
UCS,13,42,True
DFS,14,2924,True
BFS,14,84,True
DLFS,14,286,True
UCS,14,84,True
DFS,15,3019,True
BFS,15,89,True
DLFS,15,0,False
UCS,15,89,True
DFS,16,1498,True
BFS,16,84,True
DLFS,16,0,False
UCS,16,84,True
DFS,17,1694,True
BFS,17,68,True
DLFS,17,0,False
UCS,17,68,True
DFS,18,1370,True
BFS,18,84,True
DLFS,18,0,False
UCS,18,84,True
DFS,19,4085,True
BFS,19,73,True
DLFS,19,0,False
UCS,19,73,True
DFS,20,3188,True
BFS,20,54,True
DLFS,20,0,False
UCS,20,54,True
DFS,21,4776,True
BFS,21,62,True
DLFS,21,292,True
UCS,21,62,True
DFS,22,5505,True
BFS,22,37,True
DLFS,22,0,False
UCS,22,37,True
DFS,23,769,True
BFS,23,89,True
DLFS,23,0,False
UCS,23,89,True
DFS,24,4570,True
BFS,24,16,True
DLFS,24,106,True
UCS,24,16,True
DFS,25,3127,True
BFS,25,19,True
DLFS,25,241,True
UCS,25,19,True
DFS,26,2872,True
BFS,26,60,True
DLFS,26,0,False
UCS,26,60,True
DFS,27,3364,True
BFS,27,138,True
DLFS,27,0,False
UCS,27,138,True
DFS,28,532,True
BFS,28,134,True
DLFS,28,0,False
UCS,28,134,True
DFS,29,0,False
BFS,29,0,False
DLFS,29,0,False
UCS,29,0,False
