Reinas,Algoritmo,Tiempo Promedio,Desviación Estándar de Tiempo,Pasos Promedio,Desviación Estándar de Pasos,Porcentaje Solucionado
4,0,3.3243497212727865e-05,0.0001820821331377117,30,0.0,100.0
4,1,3.4038225809733076e-05,0.00018643504093445365,185,4.631848765720417,100.0
4,2,0.00016623338063557943,0.00037806587588157817,0,0.0,100.0
6,0,0,0,0,0,0.0
6,1,0.00029821395874023436,0.0004804108771862562,318,21.8011212759548,33.333333333333336
6,2,0.10871523221333822,0.17609595348455973,186,20.180613044631297,50.0
8,0,0,0,0,0,0.0
8,1,0.0009631315867106119,0.0008067218377565406,3644,106.86011911593239,100.0
8,2,0.23984594345092775,0.264552188405597,184,20.211108056929707,33.333333333333336
10,0,0,0,0,0,0.0
10,1,0.002725865159715925,0.002648357104920873,7685,271.5146107715639,93.33333333333333
10,2,0.6691205978393555,0.1672104583936323,183,9.370165420097983,16.666666666666668
